INFO:__main__:Running stego_core.py
INFO:__main__:Loading colorwheel.png
DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 41 65536
INFO:__main__:Converting to RGBAPixelArray
INFO:__main__:Encoding message
DEBUG:__main__:Column 0: offset 0
DEBUG:__main__: [c12] Pixel 478: 0
DEBUG:__main__: [c12] Pixel 515: 0
DEBUG:__main__: [c12] Pixel 552: 0
DEBUG:__main__: [c12] Pixel 589: 0
DEBUG:__main__: [c12] Pixel 626: 1
DEBUG:__main__: [c12] Pixel 663: 1
DEBUG:__main__: [c12] Pixel 700: 0
DEBUG:__main__:Finished column 12 with offset 31
DEBUG:__main__:Column 13: offset 31
DEBUG:__main__:Column 13: start index 6
DEBUG:__main__: [c13] Pixel 6: 0
DEBUG:__main__: [c13] Pixel 43: 1
DEBUG:__main__: [c13] Pixel 80: 1
DEBUG:__main__: [c13] Pixel 117: 0
DEBUG:__main__: [c13] Pixel 154: 0
DEBUG:__main__: [c13] Pixel 191: 1
DEBUG:__main__: [c13] Pixel 228: 1
DEBUG:__main__: [c13] Pixel 265: 0
DEBUG:__main__: [c13] Pixel 302: 1
DEBUG:__main__: [c13] Pixel 339: 1
DEBUG:__main__: [c13] Pixel 376: 1
DEBUG:__main__: [c13] Pixel 413: 1
DEBUG:__main__: [c13] Pixel 450: 0
DEBUG:__main__: [c13] Pixel 487: 1
DEBUG:__main__: [c13] Pixel 524: 1
DEBUG:__main__: [c13] Pixel 561: 1
DEBUG:__main__: [c13] Pixel 598: 1
DEBUG:__main__: [c13] Pixel 635: 0
DEBUG:__main__: [c13] Pixel 672: 0
DEBUG:__main__: [c13] Pixel 709: 0
DEBUG:__main__: [c13] Pixel 746: 0
DEBUG:__main__:Finished column 13 with offset 22
DEBUG:__main__:Column 14: offset 22
DEBUG:__main__:Column 14: start index 15
DEBUG:__main__: [c14] Pixel 15: 0
DEBUG:__main__: [c14] Pixel 52: 1
DEBUG:__main__: [c14] Pixel 89: 0
DEBUG:__main__: [c14] Pixel 126: 0
DEBUG:__main__: [c14] Pixel 163: 0
DEBUG:__main__: [c14] Pixel 200: 0
DEBUG:__main__: [c14] Pixel 237: 0
DEBUG:__main__: [c14] Pixel 274: 0
DEBUG:__main__: [c14] Pixel 311: 1
DEBUG:__main__: [c14] Pixel 348: 1
DEBUG:__main__: [c14] Pixel 385: 0
DEBUG:__main__: [c14] Pixel 422: 1
DEBUG:__main__: [c14] Pixel 459: 0
DEBUG:__main__: [c14] Pixel 496: 1
DEBUG:__main__: [c14] Pixel 533: 0
DEBUG:__main__: [c14] Pixel 570: 0
DEBUG:__main__: [c14] Pixel 607: 1
DEBUG:__main__: [c14] Pixel 644: 1
DEBUG:__main__: [c14] Pixel 681: 1
DEBUG:__main__: [c14] Pixel 718: 0
DEBUG:__main__:Finished column 14 with offset 13
DEBUG:__main__:Column 15: offset 13
DEBUG:__main__:Column 15: start index 24
DEBUG:__main__: [c15] Pixel 24: 1
DEBUG:__main__: [c15] Pixel 61: 0
DEBUG:__main__: [c15] Pixel 98: 1
DEBUG:__main__: [c15] Pixel 135: 0
DEBUG:__main__: [c15] Pixel 172: 1
DEBUG:__main__: [c15] Pixel 209: 1
DEBUG:__main__: [c15] Pixel 246: 0
DEBUG:__main__: [c15] Pixel 283: 1
DEBUG:__main__: [c15] Pixel 320: 1
DEBUG:__main__: [c15] Pixel 357: 0
DEBUG:__main__: [c15] Pixel 394: 1
DEBUG:__main__: [c15] Pixel 431: 0
DEBUG:__main__: [c15] Pixel 468: 1
DEBUG:__main__: [c15] Pixel 505: 1
DEBUG:__main__: [c15] Pixel 542: 1
DEBUG:__main__: [c15] Pixel 579: 0
DEBUG:__main__: [c15] Pixel 616: 0
DEBUG:__main__: [c15] Pixel 653: 0
DEBUG:__main__: [c15] Pixel 690: 0
DEBUG:__main__: [c15] Pixel 727: 0
DEBUG:__main__:Finished column 15 with offset 4
DEBUG:__main__:Column 16: offset 4
DEBUG:__main__:Column 16: start index 33
DEBUG:__main__: [c16] Pixel 33: 1
DEBUG:__main__: [c16] Pixel 70: 1
DEBUG:__main__: [c16] Pixel 107: 0
DEBUG:__main__: [c16] Pixel 144: 0
DEBUG:__main__: [c16] Pixel 181: 1
DEBUG:__main__: [c16] Pixel 218: 0
DEBUG:__main__: [c16] Pixel 255: 1
DEBUG:__main__: [c16] Pixel 292: 0
DEBUG:__main__: [c16] Pixel 329: 1
DEBUG:__main__: [c16] Pixel 366: 1
DEBUG:__main__: [c16] Pixel 403: 0
DEBUG:__main__: [c16] Pixel 440: 0
DEBUG:__main__: [c16] Pixel 477: 1
DEBUG:__main__: [c16] Pixel 514: 0
DEBUG:__main__: [c16] Pixel 551: 0
DEBUG:__main__: [c16] Pixel 588: 0
DEBUG:__main__: [c16] Pixel 625: 0
DEBUG:__main__: [c16] Pixel 662: 1
DEBUG:__main__: [c16] Pixel 699: 0
DEBUG:__main__:Finished column 16 with offset 32
DEBUG:__main__:Column 17: offset 32
DEBUG:__main__:Column 17: start index 5
DEBUG:__main__: [c17] Pixel 5: 0
DEBUG:__main__: [c17] Pixel 42: 0
DEBUG:__main__: [c17] Pixel 79: 0
DEBUG:__main__: [c17] Pixel 116: 0
DEBUG:__main__: [c17] Pixel 153: 0
DEBUG:__main__: [c17] Pixel 190: 1
DEBUG:__main__: [c17] Pixel 227: 1
DEBUG:__main__: [c17] Pixel 264: 0
DEBUG:__main__: [c17] Pixel 301: 1
DEBUG:__main__: [c17] Pixel 338: 1
DEBUG:__main__: [c17] Pixel 375: 1
DEBUG:__main__: [c17] Pixel 412: 1
DEBUG:__main__: [c17] Pixel 449: 0
DEBUG:__main__: [c17] Pixel 486: 1
DEBUG:__main__: [c17] Pixel 523: 1
DEBUG:__main__: [c17] Pixel 560: 1
DEBUG:__main__: [c17] Pixel 597: 0
DEBUG:__main__: [c17] Pixel 634: 1
DEBUG:__main__: [c17] Pixel 671: 1
DEBUG:__main__: [c17] Pixel 708: 0
DEBUG:__main__: [c17] Pixel 745: 0
DEBUG:__main__:Finished column 17 with offset 23
DEBUG:__main__:Column 18: offset 23
DEBUG:__main__:Column 18: start index 14
DEBUG:__main__: [c18] Pixel 14: 1
DEBUG:__main__: [c18] Pixel 51: 1
DEBUG:__main__: [c18] Pixel 88: 0
DEBUG:__main__: [c18] Pixel 125: 0
DEBUG:__main__: [c18] Pixel 162: 1
DEBUG:__main__: [c18] Pixel 199: 0
DEBUG:__main__: [c18] Pixel 236: 1
DEBUG:__main__: [c18] Pixel 273: 0
DEBUG:__main__: [c18] Pixel 310: 1
DEBUG:__main__: [c18] Pixel 347: 1
DEBUG:__main__: [c18] Pixel 384: 1
DEBUG:__main__: [c18] Pixel 421: 0
DEBUG:__main__: [c18] Pixel 458: 0
DEBUG:__main__: [c18] Pixel 495: 1
DEBUG:__main__: [c18] Pixel 532: 0
DEBUG:__main__: [c18] Pixel 569: 0
DEBUG:__main__: [c18] Pixel 606: 0
DEBUG:__main__: [c18] Pixel 643: 1
DEBUG:__main__: [c18] Pixel 680: 0
DEBUG:__main__: [c18] Pixel 717: 0
DEBUG:__main__: [c18] Pixel 754: 0
DEBUG:__main__:Finished column 18 with offset 14
DEBUG:__main__:Column 19: offset 14
DEBUG:__main__:Column 19: start index 23
DEBUG:__main__: [c19] Pixel 23: 0
DEBUG:__main__: [c19] Pixel 60: 0
DEBUG:__main__: [c19] Pixel 97: 0
DEBUG:__main__: [c19] Pixel 134: 1
DEBUG:__main__: [c19] Pixel 171: 1
DEBUG:__main__: [c19] Pixel 208: 1
DEBUG:__main__: [c19] Pixel 245: 0
